1,2,3
1,2,23
1,2,23
1,1,1
1,1,1
1,3,14
1,2,23
1,2,9
1,2,1
1,2,3
1,2,9
1,2,3
1,2,3
1,2,23
1,1,23
2,2,9
2,3,9
2,2,23
2,3,88
2,2,4
2,2,9
2,2,9
2,2,3
2,2,1
2,1,1
2,1,3
2,1,3
2,1,3
2,2,3
2,2,1
2,2,4
2,3,1
2,3,1
3,2,23
3,3,14
3,2,23
3,2,14
3,2,1
3,2,0
3,2,23
3,3,9
3,2,23
3,3,9
4,3,14
4,2,3
4,1,3
4,1,3
4,3,23
4,2,23
4,2,23
4,2,23
4,3,39
