A. Davis,3
L. James,23
D. Green,14
K. Caldwell-Pope,1
A. Caruso,4
M. Morris,88
J. Dudley,10
K. Kuzma,0
D. Howard,39
R. Rondo,9
Q. Cook,28
J. McGee,7
J. Smith,21
